epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2436.2,0.85592,0.5295,0.94436,0.84484,0.86142,0.89055,0.71212,0.95336,0.56838,0.99052,0.000269475,0.000269475,0.000269475
43,2494.45,0.86433,0.52965,0.94643,0.80806,0.88031,0.88533,0.70558,0.94621,0.57665,0.9876,0.000255731,0.000255731,0.000255731
44,2553.37,0.85975,0.52339,0.94105,0.8643,0.84044,0.89964,0.71482,0.94413,0.56628,0.98872,0.000241986,0.000241986,0.000241986
45,2611.88,0.84946,0.52094,0.93733,0.85543,0.85139,0.89349,0.71574,0.94401,0.56951,0.99015,0.000228242,0.000228242,0.000228242
46,2668.88,0.84665,0.51877,0.93797,0.82796,0.85239,0.87883,0.69951,0.94928,0.56747,0.99079,0.000214497,0.000214497,0.000214497
47,2724.92,0.842,0.5084,0.93946,0.85898,0.85254,0.89566,0.71532,0.94865,0.57084,0.99229,0.000200753,0.000200753,0.000200753
48,2780.97,0.83115,0.50445,0.92729,0.8468,0.86961,0.8898,0.71228,0.94647,0.56591,0.991,0.000187008,0.000187008,0.000187008
49,2837.17,0.83332,0.50058,0.93035,0.83919,0.86816,0.88857,0.71259,0.94109,0.56636,0.99044,0.000173264,0.000173264,0.000173264
50,2893.09,0.83934,0.50038,0.93686,0.8299,0.85708,0.89036,0.71409,0.93939,0.56107,0.98972,0.00015952,0.00015952,0.00015952
51,2966.04,0.81807,0.47946,0.93223,0.8438,0.86225,0.88842,0.71881,0.94328,0.56582,0.99192,0.000145775,0.000145775,0.000145775
52,3021.81,0.80641,0.46774,0.92778,0.86746,0.84762,0.89831,0.72617,0.94337,0.55962,0.99134,0.000132031,0.000132031,0.000132031
53,3077.13,0.80419,0.46136,0.92427,0.84344,0.85082,0.89262,0.72047,0.94601,0.56119,0.99323,0.000118286,0.000118286,0.000118286
54,3135.05,0.79375,0.45767,0.92137,0.86852,0.84393,0.9008,0.72955,0.9369,0.55845,0.9892,0.000104542,0.000104542,0.000104542
55,3193.76,0.79646,0.45453,0.91977,0.86888,0.83783,0.89607,0.72341,0.9369,0.55884,0.99095,9.0797e-05,9.0797e-05,9.0797e-05
56,3249.71,0.78288,0.44817,0.918,0.85469,0.85596,0.89941,0.72281,0.93938,0.56259,0.99084,7.70525e-05,7.70525e-05,7.70525e-05
57,3306.82,0.78036,0.44429,0.91459,0.85399,0.8635,0.89924,0.72999,0.93335,0.5527,0.98842,6.3308e-05,6.3308e-05,6.3308e-05
58,3363.03,0.77639,0.44026,0.91475,0.85141,0.87531,0.90272,0.73208,0.93634,0.55659,0.98872,4.95635e-05,4.95635e-05,4.95635e-05
59,3418.91,0.77223,0.43438,0.91435,0.84553,0.87415,0.90149,0.73155,0.93785,0.55339,0.99005,3.5819e-05,3.5819e-05,3.5819e-05
60,3474.71,0.76381,0.43298,0.91058,0.85235,0.87606,0.89988,0.72855,0.93685,0.55381,0.99027,2.20745e-05,2.20745e-05,2.20745e-05
